Title,Description,Priority,Status,Estimate,Team,Labels
"[T1.1] Next.js 14 Project Scaffold","Set up the complete project foundation with Next.js 14, modern tooling, and CI/CD pipeline. Acceptance Criteria: Application boots successfully on npm run dev, CI pipeline runs lint/test/build without errors, shadcn/ui components are installed and themed, TypeScript strict mode enabled and configured, Auto-deploy to staging on main branch push, Development environment documented in README",0,"Backlog",3,"Engineering","workstream:foundations,priority:P0,type:setup"
"[T1.2] FHIR Upload & Parse Pathway","Implement file upload system for FHIR Bundles with validation and basic resource counting. Acceptance Criteria: Drag-drop interface accepts JSON files up to 10MB, Detects Bundle vs individual Resource types, Displays resource counts by type, Shows meaningful error messages for invalid files, Handles malformed JSON gracefully, File processing completes in <2s for 5MB bundles",0,"Backlog",5,"Engineering","workstream:foundations,priority:P0,type:feature"
"[T1.3] Sandbox FHIR Server Integration","Implement read-only connection to FHIR servers for live patient data fetching. Acceptance Criteria: UI form accepts server URL and patient ID, Successfully fetches Bundle via Patient/$everything, Caches responses in memory for session duration, Validates server capabilities before fetching, Displays helpful errors for connection failures, Supports HAPI FHIR and SMART-enabled servers",1,"Backlog",4,"Engineering","workstream:foundations,priority:P1,type:integration"
"[T2.1] Deterministic Resource Selection","Create algorithms to intelligently filter and select relevant clinical resources. Acceptance Criteria: Returns most recent lab values for each LOINC code, Identifies active medications from MedicationRequest status, Filters chronic conditions, Normalizes units with conversion factors, Includes relevance scores for resource selection, Handles missing or invalid dates gracefully",0,"Backlog",6,"Engineering","workstream:summarization,priority:P0,type:algorithm"
"[T2.2] Persona Template System","Design and implement persona-specific prompt templates with section configuration. Acceptance Criteria: Three distinct templates with different sections, Patient template uses 8th-grade reading level, Provider template includes clinical assessment sections, Caregiver template focuses on practical care tasks, Section manifests define what content appears when, Templates can be A/B tested with different approaches",0,"Backlog",5,"Engineering","workstream:summarization,priority:P0,type:templates"
"[T2.3] LLM Orchestration","Build robust Claude API integration with structured output parsing and error handling. Acceptance Criteria: /api/summarize endpoint accepts normalized Bundle + persona, Returns structured JSON with sections and claims, Implements 3x retry with backoff for API failures, Validates all LLM responses against expected schema, Handles API rate limits gracefully, Processes 5MB bundle in <6 seconds end-to-end",0,"Backlog",7,"Engineering","workstream:summarization,priority:P0,type:integration"
"[T3.1] Claim Schema & Provenance Chips","Implement the core provenance system linking every AI claim to source FHIR resources. Acceptance Criteria: Every AI-generated sentence includes traceable references, Hovering chip highlights corresponding source data, Chips are keyboard accessible, Visual distinction between confidence levels, Chips render without performance impact, Works correctly with screen readers",0,"Backlog",4,"Engineering","workstream:provenance,priority:P0,type:ui"
"[T3.2] Right-Pane Resource Inspector","Build detailed resource inspection panel for FHIR data exploration. Acceptance Criteria: Clicking chip opens right panel with resource details, Panel shows both formatted view and raw JSON, Displays human-readable labels for medical codes, Formats dates and times appropriately, Panel is resizable and responsive on mobile, Search functionality works within large resources",0,"Backlog",5,"Engineering","workstream:provenance,priority:P0,type:ui"
"[T3.3] Uncertainty & Confidence Flagging","Implement visual indicators for AI confidence levels and uncertainty. Acceptance Criteria: Claims below 80% confidence show uncertainty badge, Tooltip explains why confidence is low, Visual hierarchy clearly distinguishes confidence levels, Confidence scores are calibrated against clinical validation, Bulk analysis identifies summary quality issues, Dashboard shows confidence distribution per persona",1,"Backlog",3,"Engineering","workstream:provenance,priority:P1,type:feature"
"[T4.1] Labs & Vitals Time-Series Charts","Create interactive trend charts for laboratory values and vital signs. Acceptance Criteria: Charts display HbA1c/LDL/BP trends over time, Reference range bands clearly visible, Out-of-range values highlighted, Tooltips show exact values/dates/source links, Charts render in <200ms after data load, Responsive design works on mobile devices",1,"Backlog",6,"Engineering","workstream:visualization,priority:P1,type:charts"
"[T4.2] Medication Timeline Visualization","Build Gantt-style medication timeline showing starts, stops, and changes. Acceptance Criteria: Timeline shows medication bars with duration, Start/stop/change events clearly marked, Overlapping medications highlighted for interaction review, Hover shows medication details and dosage, Timeline navigable across multiple years, Medications can be grouped by therapeutic class",1,"Backlog",5,"Engineering","workstream:visualization,priority:P1,type:timeline"
